Week,Date,Forecast,Lower_CI,Upper_CI
1,2011-12-18,340927.0502225152,229835.25101493025,452018.8494301001
2,2011-12-25,302534.05089928216,186907.7954279498,418160.3063706145
3,2012-01-01,325228.3166575172,206019.62280718944,444437.01050784497
4,2012-01-08,394809.73198774946,272151.0874721713,517468.3765033276
5,2012-01-15,377004.03021890967,228692.9925061059,525315.0679317134
6,2012-01-22,340761.1554838447,185886.66080463695,495635.6501630524
7,2012-01-29,362884.17616906116,202122.0221168172,523646.33022130514
8,2012-02-05,435208.38347756607,268781.7340067545,601635.0329483777
9,2012-02-12,415836.5481972305,222027.91194098364,609645.1844534774
10,2012-02-19,379526.12865682115,176851.6971289762,582200.5601846661
11,2012-02-26,401667.0958950354,190928.4381967741,612405.7535932967
12,2012-03-04,473905.1348941276,255415.50188375523,692394.7679045
